slug,name,city,category,content,subline,main_image,michelin_stars,crown,lat,long
hiboru,HiBoRu,taipei,Dining,"HiBoRu is a unique dining establishment located in the vibrant city of Taipei. Known for its innovative approach to cuisine, HiBoRu blends traditional flavors with modern techniques, creating a memorable culinary experience. Despite currently having no Michelin stars, the restaurant is recognized for its creative dishes and inviting atmosphere, making it a must-visit spot for both locals and tourists alike. Whether you're looking to explore new flavors or enjoy a delightful meal, HiBoRu offers a captivating journey for your taste buds.",,https://framerusercontent.com/images/ALkwWdNUyTopJPmRYya2Gfy4.jpg,0,false,25.033,121.5654
nuo-fu-migao,Nuo Fu Migao,tainan,Dining,"Nuo Fu Migao is a renowned restaurant located in Tainan, Taiwan, celebrated for its unique take on traditional Taiwanese cuisine. Known for its vibrant flavors and fresh ingredients, the establishment has quickly gained popularity among locals and visitors alike. Despite not having received Michelin stars yet, it is recognized for its dedication to quality and authenticity, making it a must-visit destination for food enthusiasts exploring the rich culinary landscape of Tainan.",,https://framerusercontent.com/images/KmswuRsqBlL3dC0gLyfv1igsat8.jpg,0,false,22.9997,120.227
coffee-stopover-black,coffee stopover black,taichung,Cafes,"Coffee Stopover Black is a charming café located in Taichung, known for its cozy atmosphere and expertly brewed coffee. This spot is perfect for coffee enthusiasts looking to enjoy a quality cup in a welcoming environment. While it has yet to receive Michelin recognition, its dedication to coffee craftsmanship and inviting ambiance make it a must-visit for locals and tourists alike.",,https://framerusercontent.com/images/ikge0vxaDhRk51y7Z2hlNuCzrQ.jpg,0,false,24.1477,120.6736
chan-chi-hot-pot-lab-dunnan-branch,Chan Chi Hot Pot Lab - Dunnan Branch,taipei,Dining,"Chan Chi Hot Pot Lab, located in the vibrant Dunnan area of Taipei, offers a unique dining experience centered around the popular hot pot cuisine. Known for its fresh ingredients and flavorful broths, this restaurant has quickly become a favorite among locals and visitors alike. With a casual atmosphere and a focus on quality, it’s an ideal spot for those looking to enjoy a hearty meal with friends and family. The restaurant is also recognized for its innovative approach, making it a must-try destination for hot pot enthusiasts.",,https://framerusercontent.com/images/wVcD2TGYBYgUBwS8R0C48dGQihs.jpg,0,true,25.033,121.5654
iode,iODE,bangkok,Dining,"iODE is a unique dining destination located in the vibrant city of Bangkok. Known for its innovative approach to cuisine, iODE blends traditional flavors with modern culinary techniques, offering a memorable experience for food enthusiasts. Despite currently having no Michelin stars, the restaurant is gaining recognition for its creative dishes and inviting atmosphere.",,https://framerusercontent.com/images/K0pIZxYt7dORdDo6jPZl1RtDwKM.jpg,0,false,13.7563,100.5018
fourninetine-bakery,Fourninetine Bakery,taipei,Bakeries,"Fourninetine Bakery is a charming establishment located in the heart of Taipei, known for its artisanal baked goods and inviting atmosphere. While it currently holds no Michelin stars, the bakery has gained a loyal following for its freshly baked bread, pastries, and unique dessert offerings. The cozy ambiance makes it an ideal spot for both locals and tourists to enjoy a delightful treat or a leisurely coffee break.",,https://framerusercontent.com/images/b1zIAjgPVVFeQx2NXBxr9Sb4Slw.jpg,0,false,25.033,121.5654
lot-roasters,Lot Roasters,barcelona,Cafes,"Lot Roasters is a popular coffee spot located in the vibrant city of Barcelona. Known for its artisanal approach to coffee roasting, this café offers a unique selection of specialty brews that cater to coffee aficionados and casual drinkers alike. With a focus on quality and sustainability, Lot Roasters sources its beans from ethical producers around the world, ensuring a rich and flavorful experience for its patrons. Whether you're looking for a quick caffeine fix or a cozy place to unwind, Lot Roasters provides a welcoming atmosphere perfect for coffee lovers.",,https://framerusercontent.com/images/vFHf8rvlsh6Dex2POONNpBtU.jpg,0,false,41.3825802,2.177073
raw-sugar-roast,Raw Sugar Roast,tokyo,Cafes,"Raw Sugar Roast is a unique café located in the vibrant city of Tokyo, known for its dedication to quality coffee and innovative roasting techniques. With a cozy atmosphere, it attracts coffee enthusiasts and casual drinkers alike, offering a curated selection of brews that highlight the nuances of raw sugar. The establishment has garnered attention for its commitment to sustainability and exceptional customer service, making it a must-visit destination for those seeking a memorable coffee experience in Tokyo.",,https://framerusercontent.com/images/ZaHr2C65xsNaev7aQe6edp6QAEg.jpg,0,true,35.6762,139.6503
crispin,Crispin,london,Dining,"Crispin is a notable establishment located in London, known for its contemporary dining experience. While it currently holds no Michelin stars, it is recognized for its unique atmosphere and commitment to quality ingredients. The restaurant is yet to receive a formal review, making it an intriguing option for those looking to explore new culinary experiences in the city.",,https://framerusercontent.com/images/e4SIxKV3yAVKjC73xEUm5OYcYt8.jpg,0,false,51.5183142,-0.0760185
deux-doux-to-go,Deux Doux To Go,taipei,Dining,"Deux Doux To Go is a charming eatery located in the vibrant city of Taipei. Known for its delightful offerings, this restaurant focuses on providing a unique blend of flavors that cater to both locals and visitors. While it has yet to receive Michelin stars, its dedication to quality and taste makes it a promising spot for those looking to explore the culinary scene in Taipei. Whether you're in the mood for a quick bite or a leisurely meal, Deux Doux To Go is worth a visit.",,https://framerusercontent.com/images/4RbuTIl7OJhTYT9qvGN733F52g.jpg,0,false,25.033,121.5654
dreamin-man,Dreamin' Man,paris,Dining,"Dreamin' Man is a charming establishment located in the heart of Paris, known for its inviting atmosphere and unique culinary offerings. While it currently holds no Michelin stars, it has garnered attention for its creative dishes and focus on fresh, local ingredients. A hidden gem for both locals and visitors, Dreamin' Man provides a cozy setting to enjoy a meal while exploring the vibrant culture of the city.",,https://framerusercontent.com/images/quKBN7tIShu6FJe1bnEs8b3FzTc.jpg,0,false,48.8652616,2.366449
sevenly-heart,Sevenly Heart,paris,Culture,"Sevenly Heart is a charming establishment located in the vibrant city of Paris. Known for its cozy atmosphere and inviting decor, it offers a unique dining experience that captures the essence of French cuisine. While it currently holds no Michelin stars, Sevenly Heart is celebrated for its dedication to quality and customer satisfaction, making it a beloved spot for both locals and visitors alike.",,https://framerusercontent.com/images/SQWgyXjs3tZjDWG5BLIR4LeFBI.jpg,0,false,48.8566,2.3522
kaishijia,Kaishijia,taipei,Dining,"Kaishijia is a renowned dining establishment located in Taipei, celebrated for its unique culinary offerings. Although it currently holds no Michelin stars, its innovative dishes and commitment to quality have captured the attention of food enthusiasts. As a place that emphasizes authentic flavors, Kaishijia invites guests to experience the rich tapestry of Taiwanese cuisine in a warm and inviting atmosphere.",,https://framerusercontent.com/images/UUlXvEsOVOpP9VUSHMy7v3NctB0.jpg,0,false,25.033,121.5654
very-nice-bar,Very Nice Bar,bangkok,Bars,"Very Nice Bar is an inviting establishment located in the vibrant city of Bangkok. Known for its relaxed atmosphere and creative cocktail menu, it offers a perfect spot for both locals and tourists to unwind. While it currently holds no Michelin stars, the bar is gaining attention for its unique ambiance and friendly service, making it a popular choice for those looking to enjoy a memorable night out in the heart of the city.",,https://framerusercontent.com/images/Qy85quvugbIdEm0YSZSnSSXoQ.jpg,0,false,13.7358592,100.5138366
tacubo-shirokanedai,TACUBO Shirokanedai,tokyo,Dining,"TACUBO Shirokanedai is a contemporary Japanese restaurant located in the heart of Tokyo. Known for its innovative approach to traditional Japanese cuisine, the restaurant offers a unique dining experience that combines seasonal ingredients with modern culinary techniques. With a focus on quality and presentation, TACUBO Shirokanedai aims to provide guests with an unforgettable meal in a stylish and inviting atmosphere.",,https://framerusercontent.com/images/yBL316YxDxs1PTKqWT47W9KlRfE.jpg,0,false,35.6762,139.6503
episode-daan-taipei,EPISODE Daan Taipei,taipei,Hotels,"Episode Daan Taipei is a vibrant establishment located in the bustling city of Taipei, known for its unique blend of modernity and tradition. This area is rich in cultural experiences, surrounded by local markets, stunning temples, and contemporary art spaces. The restaurant offers a contemporary dining experience that showcases the best of Taiwanese cuisine, with an emphasis on fresh, locally sourced ingredients. Visitors can enjoy a lively atmosphere while indulging in innovative dishes that reflect the culinary diversity of the region.",,https://framerusercontent.com/images/EghLRD9RaZ0QGp2yDv8cTxzHo.jpeg,0,false,25.0388923,121.5441162
the-social,The Social,taipei,Dining,"The Social is a vibrant venue located in the heart of Taipei, known for its lively atmosphere and diverse offerings. With a focus on socializing and community engagement, this establishment provides a welcoming space for both locals and visitors to enjoy a variety of experiences. Whether you're looking to unwind with friends or explore new culinary delights, The Social promises an inviting environment that captures the essence of Taipei's dynamic culture.",,https://framerusercontent.com/images/rX4Nycpif37cgvKx5z5GKbKHjUE.jpg,0,false,25.033,121.5654
sōzai,sōzai,taichung,Dining,"Sōzai is a notable dining establishment located in Taichung, Taiwan. Known for its unique culinary offerings, this restaurant has earned recognition for its commitment to quality and creativity. With a focus on fresh ingredients and innovative dishes, Sōzai provides an inviting atmosphere for both locals and visitors alike. Although it has yet to receive Michelin stars, the restaurant's reputation continues to grow, making it a must-visit spot for food enthusiasts in the area.",,https://framerusercontent.com/images/BJAAzzEGzdqxtGey2gBZLMAwmto.jpg,0,true,24.1477,120.6736
minimal,Minimal,taichung,Dining,"Minimal is a notable establishment located in Taichung, Taiwan, known for its unique dining experience that emphasizes simplicity and quality. Although it currently holds no Michelin stars, it has garnered attention for its innovative approach to cuisine. With a focus on fresh, local ingredients, Minimal aims to create dishes that reflect the essence of the region. Its modern yet cozy atmosphere makes it a popular choice among both locals and visitors seeking a memorable meal.",,https://framerusercontent.com/images/gSmyVJqAiOb1XNOpDtt4mBOLRo.jpg,0,false,24.1516767,120.6623214
ochre-grill-bar,Ochre Grill & Bar,taipei,Restaurants,"Ochre Grill & Bar is a trendy dining destination located in Taipei, known for its vibrant atmosphere and diverse menu that features a fusion of local and international flavors. The restaurant prides itself on using high-quality ingredients and offers a unique dining experience that caters to both casual diners and food enthusiasts. With its stylish decor and attentive service, Ochre Grill & Bar is a popular choice for those seeking a memorable meal in the heart of the city.",,https://framerusercontent.com/images/97m4MaEuEpdGPWBlh7sskor8JsM.jpg,0,false,25.033,121.5654
l-atelier-par-yao,L'Atelier par Yao,taichung,Dining,"L'Atelier par Yao is a Michelin-starred restaurant located in Taichung, known for its exquisite culinary offerings that blend traditional techniques with modern flair. Chef Yao emphasizes high-quality ingredients and innovative presentation, creating a memorable dining experience. Despite its accolades, the restaurant maintains an inviting atmosphere, making it a must-visit for food enthusiasts seeking both flavor and artistry in their meals.",,https://framerusercontent.com/images/s7Kfqy6lYAU02YaTYSXPlnFgjw.jpg,1,false,24.1477,120.6736
intercontinental-danang-sun-peninsula-resort,InterContinental Danang Sun Peninsula Resort,da-nang,Hotels,"The InterContinental Danang Sun Peninsula Resort is a luxurious beachfront property located in Da Nang, Vietnam. Nestled on the stunning Son Tra Peninsula, this resort offers breathtaking views of the South China Sea and is surrounded by lush tropical forests. Known for its exquisite architecture and world-class amenities, the resort provides guests with a serene escape, featuring a private beach, multiple dining options, and a lavish spa. Perfect for both relaxation and adventure, the InterContinental Danang is a top destination for travelers seeking a blend of luxury and natural beauty.",,https://framerusercontent.com/images/a6DjfO7L7bkTOYZr31Iv55Xxvg.jpg,0,false,16.1210876,108.3061358
museu-de-arte-contemporânea-armando-martins, Museu de Arte Contemporânea Armando Martins,lisbon,Culture,"The Museu de Arte Contemporânea Armando Martins, located in Lisbon, is a vibrant cultural institution dedicated to showcasing contemporary art. It features a diverse collection of artworks from both established and emerging artists, reflecting the dynamic nature of the modern art scene. The museum aims to engage visitors through innovative exhibitions and educational programs, making it a key destination for art enthusiasts in the city.",,https://framerusercontent.com/images/vjytMDHW5XRoTiwhTnO7Iy11co.jpg,0,false,38.7004862,-9.183303
laize-marais, laïzé marais,paris,Dining,"Laïzé Marais is a notable dining establishment located in the heart of Paris, known for its vibrant atmosphere and contemporary French cuisine. While it currently holds no Michelin stars, the restaurant has garnered attention for its innovative dishes and commitment to quality. With a focus on fresh, local ingredients, Laïzé Marais offers a unique culinary experience that reflects the rich gastronomic heritage of the city.",,https://framerusercontent.com/images/LTWFjsiAJsx9K3w1YZPnXtmsco.jpeg,0,false,48.8608286,2.3556439
arabica-kyoto-arashiyama,% ARABICA Kyoto Arashiyama,kyoto,Dining,"% ARABICA Kyoto Arashiyama is a charming coffee shop located in the picturesque Arashiyama district of Kyoto, Japan. Known for its stunning views of the surrounding mountains and the iconic bamboo groves, this café offers a serene atmosphere perfect for enjoying high-quality specialty coffee. With a focus on sourcing the best Arabica beans, % ARABICA provides a unique coffee experience that attracts both locals and tourists alike. Whether you're looking to relax after exploring the area or seeking a delicious cup of coffee, this spot is a must-visit in Kyoto.",,https://framerusercontent.com/images/FnkN44VDLFwPFLUnixxbMh5OZY.jpg,0,false,35.0135408,135.6764357
1-hotel-hanalei-bay,1 Hotel Hanalei Bay,hawaii,Hotels,"1 Hotel Hanalei Bay is a luxurious beachfront resort located in Hawaii, renowned for its sustainable design and stunning natural surroundings. Nestled along the pristine Hanalei Bay, this eco-conscious hotel offers guests a unique experience that blends modern comforts with the beauty of the Hawaiian landscape. With a focus on wellness and relaxation, guests can enjoy a range of amenities including pools, spa services, and gourmet dining options, all while being surrounded by breathtaking views of mountains and the ocean. Ideal for both adventure seekers and those looking to unwind, 1 Hotel Hanalei Bay provides a perfect getaway in paradise.",,https://framerusercontent.com/images/4ScssapxTULav3DeSnyDAwmbXl0.jpg,0,false,21.3099,-157.8581
1-hotel-mayfair,1 Hotel Mayfair,london,Hotels,"1 Hotel Mayfair is a luxurious hotel located in the heart of London, known for its eco-friendly design and commitment to sustainability. This hotel combines modern elegance with natural elements, providing guests with a unique and tranquil atmosphere. With a focus on wellness and relaxation, 1 Hotel Mayfair offers exceptional amenities and services designed to create an unforgettable experience for visitors exploring the vibrant city of London.",,https://framerusercontent.com/images/vhOmLktKy2P5hWVLM51glHPWu0.webp,0,false,51.5076878,-0.1423139
1-place-vendome,"1, Place Vendôme",paris,Hotels,"1, Place Vendôme is a prestigious address located in the heart of Paris, known for its elegant architecture and historical significance. This square, designed in the late 17th century, features a central column topped with a statue of Napoleon. It is surrounded by luxury boutiques, high-end hotels, and art galleries, making it a popular destination for both tourists and locals. The square is a symbol of Parisian opulence and is often associated with fashion and fine dining.",,https://framerusercontent.com/images/ubVfxm1Pi2BKTTIgKu9wmfiYBr4.jpg,0,false,48.8670343,2.3287322
11-howard,11 Howard,new-york,Hotels,"11 Howard is a stylish hotel located in the vibrant neighborhood of Soho, New York City. Known for its modern design and sleek interiors, the hotel offers a blend of luxury and comfort. Guests can enjoy a variety of amenities, including a trendy restaurant, a fitness center, and proximity to shopping and cultural attractions. With its emphasis on personalized service and a chic atmosphere, 11 Howard is a popular choice for both business and leisure travelers.",,https://framerusercontent.com/images/FkxjUZLvyqJtHV1bVGvJMQ05U.webp,0,false,40.6414537,-74.1128431
21-carpenter,21 Carpenter,singapore,Other,"21 Carpenter is a dining establishment located in Singapore, known for its innovative culinary offerings. Although it currently holds no Michelin stars and has not yet been reviewed, it promises a unique experience for food enthusiasts. With a focus on quality and creativity, this restaurant aims to make its mark in the vibrant Singapore food scene.",,https://framerusercontent.com/images/2JW8BL8FyJ7tswOQRlQUEirZXQs.jpg,0,false,1.2885716,103.8474625
21c-museum-hotel-chicago,21c Museum Hotel Chicago,chicago,Hotels,"The 21c Museum Hotel Chicago is a unique destination that blends contemporary art with luxury hospitality. Located in the vibrant city of Chicago, this hotel features a rotating collection of art installations throughout its spaces, making it a living museum experience. Guests can enjoy stylish accommodations, on-site dining, and easy access to local attractions. With its innovative approach and artistic flair, the 21c Museum Hotel offers a distinctive stay for art lovers and travelers alike.",,https://framerusercontent.com/images/oX2zm5G3jPoS0TSltFmzcfWA.jpeg,0,false,41.8929963,-87.6259605
4-charles-prime-rib,4 Charles Prime Rib,new-york,Dining,"4 Charles Prime Rib is a renowned steakhouse located in New York City, celebrated for its exquisite prime rib and classic American cuisine. With a sophisticated ambiance, this establishment offers a luxurious dining experience, making it a popular choice for both locals and visitors. Although it currently holds no Michelin stars, the restaurant is known for its commitment to quality and service, ensuring a memorable meal for all who dine there.",,https://framerusercontent.com/images/lluswzWjfsGRIHF6JlgOxOAlk.webp,0,false,40.7351585,-74.0006431
45-park-lane,45 Park Lane,london,Hotels,"45 Park Lane is a luxurious hotel located in the heart of London, known for its modern design and exceptional service. Overlooking Hyde Park, this elegant establishment offers guests a unique blend of contemporary comfort and classic sophistication. With a range of premium amenities, including a world-class restaurant and a chic bar, 45 Park Lane is an ideal destination for both leisure and business travelers seeking an upscale experience in one of the city's most prestigious areas.",,https://framerusercontent.com/images/AhlZDWNHQFMHBGEaVnyIU5KVA.jpg,0,false,51.5062915,-0.1515394
8-spruce,8 Spruce,new-york,Culture,"8 Spruce is a notable restaurant located in New York City, known for its innovative cuisine and modern ambiance. The establishment has gained attention for its unique dishes that reflect the vibrant culinary scene of the city. Despite currently having no Michelin stars, it offers a memorable dining experience that attracts both locals and visitors. With its strategic location and creative menu, 8 Spruce is a place worth considering for those looking to explore the diverse flavors of New York.",,https://framerusercontent.com/images/dk7cekThWI98B4x561y5gNFtOg.jpg,0,false,41.3333392,-73.8862231
about-life-coffee-brewers-hcm,ABOUT LIFE COFFEE BREWERS HCM,saigon,Cafes,"Life Coffee Brewers in HCM City, Saigon, is a vibrant café known for its artisanal coffee and inviting atmosphere. While it has yet to receive Michelin recognition, it stands out for its commitment to quality brews and a cozy environment, making it a popular spot for both locals and visitors. With a focus on the craft of coffee, Life Coffee Brewers offers a unique experience that captures the essence of Saigon's burgeoning café culture.",,https://framerusercontent.com/images/C2P6O5yaYzju7d7CcrIY69Lgt0.jpg,0,false,10.8231,106.6297
acme,ACME,taipei,Dining,"ACME is a notable establishment located in Taipei, a vibrant city known for its rich culture and culinary scene. Although it currently holds no Michelin stars, it stands out for its unique offerings and local charm. With its strategic location and innovative approach, ACME aims to provide visitors with an unforgettable experience in the heart of Taiwan's capital.",,https://framerusercontent.com/images/IfoFvfjQwO6FM4grnJoi7hesDcw.jpeg,0,false,25.0343435,121.5648493
aj-grill,AJ grill,taipei,Restaurants,"AJ Grill is a vibrant dining establishment located in the bustling city of Taipei. Known for its unique blend of flavors and inviting atmosphere, this restaurant focuses on delivering a memorable grill experience. While it currently holds no Michelin stars, it is a popular choice for locals and visitors alike, offering a diverse menu that caters to various tastes. With a commitment to quality and service, AJ Grill aims to create an enjoyable dining experience for all its guests.",,https://framerusercontent.com/images/yLuuyXTHkb9e7EMXve1itXGNcLA.jpeg,0,false,25.033,121.5654
ana-intercontinental-beppu-resort,ANA InterContinental Beppu Resort,beppu,Hotels,"The ANA InterContinental Beppu Resort is a luxurious destination located in Beppu, Japan, known for its stunning views and exceptional hospitality. Offering a five-star experience, this resort combines modern amenities with traditional Japanese charm, providing guests with an unforgettable stay. Enjoy on-site dining, relaxing spa services, and easy access to the area's famous hot springs, making it an ideal choice for travelers seeking both comfort and adventure in a serene setting.",,https://framerusercontent.com/images/2Otfoi4OyRKcovo7MiUIjIp2I.jpg,0,false,33.2845752,131.4913063
ao,AO,taichung,Dining,"AO is located in Taichung, Taiwan, a vibrant city known for its rich culture, delicious street food, and beautiful parks. This establishment is notable for its unique ambiance and culinary offerings, though it currently holds no Michelin stars. With a focus on providing a memorable dining experience, AO is a place worth exploring for both locals and visitors alike.",,https://framerusercontent.com/images/CdQW8AQPMLWiadgZ94tnamHig8o.jpg,0,false,24.163162,120.6478282
ap-cafe-singapore,AP Café Singapore,singapore,Dining,"AP Café Singapore is a cozy café located in the vibrant city of Singapore, known for its welcoming atmosphere and delicious offerings. Although it has yet to receive Michelin stars, it provides a unique blend of local and international flavors, making it a popular spot for both locals and tourists. With a focus on quality ingredients and a comfortable setting, AP Café is perfect for a casual meal or a relaxing coffee break.",,https://framerusercontent.com/images/x25Rn2BsigqO1F71X7FsDr5Hwk.webp,0,false,1.2945,103.8544
aru-restaurant,ARU Restaurant,melbourne,Restaurants,"ARU Restaurant is an emerging dining destination located in Melbourne, known for its innovative approach to contemporary cuisine. While it currently holds no Michelin stars, the restaurant has garnered attention for its unique menu that highlights local ingredients and flavors. With a focus on providing a memorable dining experience, ARU Restaurant aims to impress both locals and visitors alike.",,https://framerusercontent.com/images/9pPISJYwamgr4tU23bxzemhR3Y.jpg,0,false,-37.8136,144.9631
academy-museum-of-motion-pictures,Academy Museum of Motion Pictures,los-angeles,Culture,"The Academy Museum of Motion Pictures, located in Los Angeles, is a premier destination dedicated to the history and art of cinema. Opened in 2021, the museum features a range of exhibits showcasing the evolution of film, from classic to contemporary works. Visitors can explore interactive displays, screenings, and a vast collection of artifacts, making it a must-visit for film enthusiasts and casual visitors alike.",,https://framerusercontent.com/images/5Wizsulu5if1SDVoD2bqDpe5kOo.jpg,0,false,34.06333,-118.36083
ace-hotel-kyoto,Ace Hotel Kyoto,kyoto,Hotels,"Ace Hotel Kyoto is a stylish and contemporary hotel located in the heart of Kyoto, blending modern design with traditional Japanese aesthetics. Known for its vibrant atmosphere and unique offerings, the hotel provides a curated experience for both leisure and business travelers. With its commitment to exceptional service and a focus on local culture, Ace Hotel Kyoto is an ideal base for exploring the rich history and beauty of Kyoto.",,https://framerusercontent.com/images/grym4ygkxF17mSQySE8Fq4XvH4.jpg,0,true,35.009633,135.7604641
ace-hotel-new-york,Ace Hotel New York,new-york,Hotels,"Ace Hotel New York is a vibrant and stylish destination located in the heart of New York City. Known for its unique blend of hospitality and artistic flair, it offers guests a comfortable and creative atmosphere. The hotel features modern amenities and is situated close to iconic attractions, making it a popular choice for both leisure and business travelers. With a focus on community and culture, Ace Hotel New York is not just a place to stay, but an experience that embodies the spirit of the city.",,https://framerusercontent.com/images/jfT42sV9UoN4EGmTjfdQpWwJo.jpg,0,false,40.6878471,-73.9837797
ace-hotel-sydney,Ace Hotel Sydney,sydney,Hotels,"Ace Hotel Sydney is a vibrant and contemporary hotel located in the heart of Sydney. Known for its stylish design and commitment to hospitality, the hotel offers a unique blend of comfort and modern amenities. With its prime location, guests have easy access to the city's iconic landmarks, dining, and entertainment options. The Ace Hotel brand is recognized for its creative atmosphere and focus on community engagement, making it an excellent choice for travelers looking to experience the essence of Sydney.",,https://framerusercontent.com/images/G2c4WlKyyuGPWXtpGJGa4i8lKU.jpg,0,false,-33.8788467,151.2099659
acne-studios-greene-street,Acne Studios Greene Street,new-york,Other,"Acne Studios Greene Street is a chic retail location in New York City, representing the renowned fashion brand Acne Studios. Known for its contemporary designs and unique style, the store offers a curated selection of apparel and accessories that exemplify the brand's commitment to quality and innovation. While it has not yet been reviewed or rated, the store is part of the vibrant fashion scene in NYC, attracting fashion enthusiasts and trendsetters alike.",,https://framerusercontent.com/images/UJdVB2dPHyqW3IXf4wVgyFOy58c.jpeg,0,false,40.7217693,-74.002251
