Name,Brand,Card Tags,Category,City,Content,Crown,Lat,Located Here,Location,Long,Main Image,Michelin Stars,My Rating,Person,Place,Reviewed,Slug,Subline
iODE,," ",Eat & Drink,bangkok,"iODE is a unique dining destination located in the vibrant city of Bangkok. Known for its innovative approach to cuisine, iODE blends traditional flavors with modern culinary techniques, offering a memorable experience for food enthusiasts. Despite currently having no Michelin stars, the restaurant is gaining recognition for its creative dishes and inviting atmosphere.",No,0,,,0,https://framerusercontent.com/images/K0pIZxYt7dORdDo6jPZl1RtDwKM.jpg,0,0,,,No,iode,
Fourninetine Bakery,," ",Eat & Drink,taipei,"Fourninetine Bakery is a charming establishment located in the heart of Taipei, known for its artisanal baked goods and inviting atmosphere. While it currently holds no Michelin stars, the bakery has gained a loyal following for its freshly baked bread, pastries, and unique dessert offerings. The cozy ambiance makes it an ideal spot for both locals and tourists to enjoy a delightful treat or a leisurely coffee break.",No,0,,,0,https://framerusercontent.com/images/b1zIAjgPVVFeQx2NXBxr9Sb4Slw.jpg,0,0,,,No,fourninetine-bakery,
Lot Roasters,," ",Eat & Drink,barcelona,"Lot Roasters is a popular coffee spot located in the vibrant city of Barcelona. Known for its artisanal approach to coffee roasting, this café offers a unique selection of specialty brews that cater to coffee aficionados and casual drinkers alike. With a focus on quality and sustainability, Lot Roasters sources its beans from ethical producers around the world, ensuring a rich and flavorful experience for its patrons. Whether you're looking for a quick caffeine fix or a cozy place to unwind, Lot Roasters provides a welcoming atmosphere perfect for coffee lovers.",No,0,,,0,https://framerusercontent.com/images/vFHf8rvlsh6Dex2POONNpBtU.jpg,0,0,,,No,lot-roasters,
Raw Sugar Roast,," ",Eat & Drink,tokyo,"Raw Sugar Roast is a unique café located in the vibrant city of Tokyo, known for its dedication to quality coffee and innovative roasting techniques. With a cozy atmosphere, it attracts coffee enthusiasts and casual drinkers alike, offering a curated selection of brews that highlight the nuances of raw sugar. The establishment has garnered attention for its commitment to sustainability and exceptional customer service, making it a must-visit destination for those seeking a memorable coffee experience in Tokyo.",Yes,0,,,0,https://framerusercontent.com/images/ZaHr2C65xsNaev7aQe6edp6QAEg.jpg,0,0,,,Yes,raw-sugar-roast,
Crispin,," ",Eat & Drink,london,"Crispin is a notable establishment located in London, known for its contemporary dining experience. While it currently holds no Michelin stars, it is recognized for its unique atmosphere and commitment to quality ingredients. The restaurant is yet to receive a formal review, making it an intriguing option for those looking to explore new culinary experiences in the city.",No,0,,,0,https://framerusercontent.com/images/e4SIxKV3yAVKjC73xEUm5OYcYt8.jpg,0,0,,,No,crispin,
Deux Doux To Go,," ",Eat & Drink,taipei,"Deux Doux To Go is a charming eatery located in the vibrant city of Taipei. Known for its delightful offerings, this restaurant focuses on providing a unique blend of flavors that cater to both locals and visitors. While it has yet to receive Michelin stars, its dedication to quality and taste makes it a promising spot for those looking to explore the culinary scene in Taipei. Whether you're in the mood for a quick bite or a leisurely meal, Deux Doux To Go is worth a visit.",No,0,,,0,https://framerusercontent.com/images/4RbuTIl7OJhTYT9qvGN733F52g.jpg,0,0,,,No,deux-doux-to-go,
Dreamin' Man,," ",Eat & Drink,paris,"Dreamin' Man is a charming establishment located in the heart of Paris, known for its inviting atmosphere and unique culinary offerings. While it currently holds no Michelin stars, it has garnered attention for its creative dishes and focus on fresh, local ingredients. A hidden gem for both locals and visitors, Dreamin' Man provides a cozy setting to enjoy a meal while exploring the vibrant culture of the city.",No,0,,,0,https://framerusercontent.com/images/quKBN7tIShu6FJe1bnEs8b3FzTc.jpg,0,0,,,No,dreamin-man,
Sevenly Heart,," ",Eat & Drink,paris,"Sevenly Heart is a charming establishment located in the vibrant city of Paris. Known for its cozy atmosphere and inviting decor, it offers a unique dining experience that captures the essence of French cuisine. While it currently holds no Michelin stars, Sevenly Heart is celebrated for its dedication to quality and customer satisfaction, making it a beloved spot for both locals and visitors alike.",No,0,,,0,https://framerusercontent.com/images/SQWgyXjs3tZjDWG5BLIR4LeFBI.jpg,0,0,,,No,sevenly-heart,
Kaishijia,," ",Eat & Drink,taipei,"Kaishijia is a renowned dining establishment located in Taipei, celebrated for its unique culinary offerings. Although it currently holds no Michelin stars, its innovative dishes and commitment to quality have captured the attention of food enthusiasts. As a place that emphasizes authentic flavors, Kaishijia invites guests to experience the rich tapestry of Taiwanese cuisine in a warm and inviting atmosphere.",No,0,,,0,https://framerusercontent.com/images/UUlXvEsOVOpP9VUSHMy7v3NctB0.jpg,0,0,,,No,kaishijia,
Very Nice Bar,," ",Eat & Drink,bangkok,"Very Nice Bar is an inviting establishment located in the vibrant city of Bangkok. Known for its relaxed atmosphere and creative cocktail menu, it offers a perfect spot for both locals and tourists to unwind. While it currently holds no Michelin stars, the bar is gaining attention for its unique ambiance and friendly service, making it a popular choice for those looking to enjoy a memorable night out in the heart of the city.",No,0,,,0,https://framerusercontent.com/images/Qy85quvugbIdEm0YSZSnSSXoQ.jpg,0,0,,,No,very-nice-bar,
TACUBO Shirokanedai,," ",Eat & Drink,tokyo,"TACUBO Shirokanedai is a contemporary Japanese restaurant located in the heart of Tokyo. Known for its innovative approach to traditional Japanese cuisine, the restaurant offers a unique dining experience that combines seasonal ingredients with modern culinary techniques. With a focus on quality and presentation, TACUBO Shirokanedai aims to provide guests with an unforgettable meal in a stylish and inviting atmosphere.",No,0,,,0,https://framerusercontent.com/images/yBL316YxDxs1PTKqWT47W9KlRfE.jpg,0,0,,,No,tacubo-shirokanedai,
EPISODE Daan Taipei,," ",Stay,taipei,"Episode Daan Taipei is a vibrant establishment located in the bustling city of Taipei, known for its unique blend of modernity and tradition. This area is rich in cultural experiences, surrounded by local markets, stunning temples, and contemporary art spaces. The restaurant offers a contemporary dining experience that showcases the best of Taiwanese cuisine, with an emphasis on fresh, locally sourced ingredients. Visitors can enjoy a lively atmosphere while indulging in innovative dishes that reflect the culinary diversity of the region.",No,0,,,0,https://framerusercontent.com/images/EghLRD9RaZ0QGp2yDv8cTxzHo.jpeg,0,0,,,No,episode-daan-taipei,
The Social,," ",Eat & Drink,taipei,"The Social is a vibrant venue located in the heart of Taipei, known for its lively atmosphere and diverse offerings. With a focus on socializing and community engagement, this establishment provides a welcoming space for both locals and visitors to enjoy a variety of experiences. Whether you're looking to unwind with friends or explore new culinary delights, The Social promises an inviting environment that captures the essence of Taipei's dynamic culture.",No,0,,,0,https://framerusercontent.com/images/rX4Nycpif37cgvKx5z5GKbKHjUE.jpg,0,0,,,No,the-social,
sōzai,," ",Eat & Drink,taichung,"Sōzai is a notable dining establishment located in Taichung, Taiwan. Known for its unique culinary offerings, this restaurant has earned recognition for its commitment to quality and creativity. With a focus on fresh ingredients and innovative dishes, Sōzai provides an inviting atmosphere for both locals and visitors alike. Although it has yet to receive Michelin stars, the restaurant's reputation continues to grow, making it a must-visit spot for food enthusiasts in the area.",Yes,0,,,0,https://framerusercontent.com/images/BJAAzzEGzdqxtGey2gBZLMAwmto.jpg,0,0,,,Yes,sōzai,
Minimal,," ",Eat & Drink,taichung,"Minimal is a notable establishment located in Taichung, Taiwan, known for its unique dining experience that emphasizes simplicity and quality. Although it currently holds no Michelin stars, it has garnered attention for its innovative approach to cuisine. With a focus on fresh, local ingredients, Minimal aims to create dishes that reflect the essence of the region. Its modern yet cozy atmosphere makes it a popular choice among both locals and visitors seeking a memorable meal.",No,0,,,0,https://framerusercontent.com/images/gSmyVJqAiOb1XNOpDtt4mBOLRo.jpg,0,0,,,Yes,minimal,
Ochre Grill & Bar,," ",Eat & Drink,taipei,"Ochre Grill & Bar is a trendy dining destination located in Taipei, known for its vibrant atmosphere and diverse menu that features a fusion of local and international flavors. The restaurant prides itself on using high-quality ingredients and offers a unique dining experience that caters to both casual diners and food enthusiasts. With its stylish decor and attentive service, Ochre Grill & Bar is a popular choice for those seeking a memorable meal in the heart of the city.",No,0,,,0,https://framerusercontent.com/images/97m4MaEuEpdGPWBlh7sskor8JsM.jpg,0,0,,,Yes,ochre-grill-bar,
L'Atelier par Yao,," ",Eat & Drink,taichung,"L'Atelier par Yao is a Michelin-starred restaurant located in Taichung, known for its exquisite culinary offerings that blend traditional techniques with modern flair. Chef Yao emphasizes high-quality ingredients and innovative presentation, creating a memorable dining experience. Despite its accolades, the restaurant maintains an inviting atmosphere, making it a must-visit for food enthusiasts seeking both flavor and artistry in their meals.",No,0,,,0,https://framerusercontent.com/images/s7Kfqy6lYAU02YaTYSXPlnFgjw.jpg,1,0,,,No,l-atelier-par-yao,
InterContinental Danang Sun Peninsula Resort,," ",Stay,da-nang,"The InterContinental Danang Sun Peninsula Resort is a luxurious beachfront property located in Da Nang, Vietnam. Nestled on the stunning Son Tra Peninsula, this resort offers breathtaking views of the South China Sea and is surrounded by lush tropical forests. Known for its exquisite architecture and world-class amenities, the resort provides guests with a serene escape, featuring a private beach, multiple dining options, and a lavish spa. Perfect for both relaxation and adventure, the InterContinental Danang is a top destination for travelers seeking a blend of luxury and natural beauty.",No,0,,,0,https://framerusercontent.com/images/a6DjfO7L7bkTOYZr31Iv55Xxvg.jpg,0,0,,,No,intercontinental-danang-sun-peninsula-resort,
" Museu de Arte Contemporânea Armando Martins",," ",Other,lisbon,"The Museu de Arte Contemporânea Armando Martins, located in Lisbon, is a vibrant cultural institution dedicated to showcasing contemporary art. It features a diverse collection of artworks from both established and emerging artists, reflecting the dynamic nature of the modern art scene. The museum aims to engage visitors through innovative exhibitions and educational programs, making it a key destination for art enthusiasts in the city.",No,0,,,0,https://framerusercontent.com/images/vjytMDHW5XRoTiwhTnO7Iy11co.jpg,0,0,,,No,museu-de-arte-contemporânea-armando-martins,
" laïzé marais",," ",Eat & Drink,paris,"Laïzé Marais is a notable dining establishment located in the heart of Paris, known for its vibrant atmosphere and contemporary French cuisine. While it currently holds no Michelin stars, the restaurant has garnered attention for its innovative dishes and commitment to quality. With a focus on fresh, local ingredients, Laïzé Marais offers a unique culinary experience that reflects the rich gastronomic heritage of the city.",No,0,,,0,https://framerusercontent.com/images/LTWFjsiAJsx9K3w1YZPnXtmsco.jpeg,0,0,,,No,laize-marais,
% ARABICA Kyoto Arashiyama,," ",Eat & Drink,kyoto,"% ARABICA Kyoto Arashiyama is a charming coffee shop located in the picturesque Arashiyama district of Kyoto, Japan. Known for its stunning views of the surrounding mountains and the iconic bamboo groves, this café offers a serene atmosphere perfect for enjoying high-quality specialty coffee. With a focus on sourcing the best Arabica beans, % ARABICA provides a unique coffee experience that attracts both locals and tourists alike. Whether you're looking to relax after exploring the area or seeking a delicious cup of coffee, this spot is a must-visit in Kyoto.",No,0,,,0,https://framerusercontent.com/images/FnkN44VDLFwPFLUnixxbMh5OZY.jpg,0,0,,Arabica Arashiyama,No,arabica-kyoto-arashiyama,
1 Hotel Hanalei Bay,1-hotel," ",Stay,hawaii,"1 Hotel Hanalei Bay is a luxurious beachfront resort located in Hawaii, renowned for its sustainable design and stunning natural surroundings. Nestled along the pristine Hanalei Bay, this eco-conscious hotel offers guests a unique experience that blends modern comforts with the beauty of the Hawaiian landscape. With a focus on wellness and relaxation, guests can enjoy a range of amenities including pools, spa services, and gourmet dining options, all while being surrounded by breathtaking views of mountains and the ocean. Ideal for both adventure seekers and those looking to unwind, 1 Hotel Hanalei Bay provides a perfect getaway in paradise.",No,0,,,0,https://framerusercontent.com/images/4ScssapxTULav3DeSnyDAwmbXl0.jpg,0,0,,,No,1-hotel-hanalei-bay,
1 Hotel Mayfair,1-hotel," ",Stay,london,"1 Hotel Mayfair is a luxurious hotel located in the heart of London, known for its eco-friendly design and commitment to sustainability. This hotel combines modern elegance with natural elements, providing guests with a unique and tranquil atmosphere. With a focus on wellness and relaxation, 1 Hotel Mayfair offers exceptional amenities and services designed to create an unforgettable experience for visitors exploring the vibrant city of London.",No,0,,,0,https://framerusercontent.com/images/vhOmLktKy2P5hWVLM51glHPWu0.webp,0,0,,1 Hotel Mayfair,No,1-hotel-mayfair,
"1, Place Vendôme",," ",Stay,paris,"1, Place Vendôme is a prestigious address located in the heart of Paris, known for its elegant architecture and historical significance. This square, designed in the late 17th century, features a central column topped with a statue of Napoleon. It is surrounded by luxury boutiques, high-end hotels, and art galleries, making it a popular destination for both tourists and locals. The square is a symbol of Parisian opulence and is often associated with fashion and fine dining.",No,0,,,0,https://framerusercontent.com/images/ubVfxm1Pi2BKTTIgKu9wmfiYBr4.jpg,0,0,,,No,1-place-vendome,
11 Howard,," ",Stay,new-york,"11 Howard is a stylish hotel located in the vibrant neighborhood of Soho, New York City. Known for its modern design and sleek interiors, the hotel offers a blend of luxury and comfort. Guests can enjoy a variety of amenities, including a trendy restaurant, a fitness center, and proximity to shopping and cultural attractions. With its emphasis on personalized service and a chic atmosphere, 11 Howard is a popular choice for both business and leisure travelers.",No,0,,,0,https://framerusercontent.com/images/FkxjUZLvyqJtHV1bVGvJMQ05U.webp,0,0,,,No,11-howard,
21 Carpenter,," ",Other,singapore,"21 Carpenter is a dining establishment located in Singapore, known for its innovative culinary offerings. Although it currently holds no Michelin stars and has not yet been reviewed, it promises a unique experience for food enthusiasts. With a focus on quality and creativity, this restaurant aims to make its mark in the vibrant Singapore food scene.",No,0,,,0,https://framerusercontent.com/images/2JW8BL8FyJ7tswOQRlQUEirZXQs.jpg,0,0,,,No,21-carpenter,
21c Museum Hotel Chicago,21c-museum-hotel," ",Stay,chicago,"The 21c Museum Hotel Chicago is a unique destination that blends contemporary art with luxury hospitality. Located in the vibrant city of Chicago, this hotel features a rotating collection of art installations throughout its spaces, making it a living museum experience. Guests can enjoy stylish accommodations, on-site dining, and easy access to local attractions. With its innovative approach and artistic flair, the 21c Museum Hotel offers a distinctive stay for art lovers and travelers alike.",No,0,,,0,https://framerusercontent.com/images/oX2zm5G3jPoS0TSltFmzcfWA.jpeg,0,0,,21c Museum Hotel Chicago,No,21c-museum-hotel-chicago,
4 Charles Prime Rib,," ",Eat & Drink,new-york,"4 Charles Prime Rib is a renowned steakhouse located in New York City, celebrated for its exquisite prime rib and classic American cuisine. With a sophisticated ambiance, this establishment offers a luxurious dining experience, making it a popular choice for both locals and visitors. Although it currently holds no Michelin stars, the restaurant is known for its commitment to quality and service, ensuring a memorable meal for all who dine there.",No,0,,,0,https://framerusercontent.com/images/lluswzWjfsGRIHF6JlgOxOAlk.webp,0,0,,4 Charles Prime Rib,No,4-charles-prime-rib,
45 Park Lane,," ",Stay,london,"45 Park Lane is a luxurious hotel located in the heart of London, known for its modern design and exceptional service. Overlooking Hyde Park, this elegant establishment offers guests a unique blend of contemporary comfort and classic sophistication. With a range of premium amenities, including a world-class restaurant and a chic bar, 45 Park Lane is an ideal destination for both leisure and business travelers seeking an upscale experience in one of the city's most prestigious areas.",No,0,,,0,https://framerusercontent.com/images/AhlZDWNHQFMHBGEaVnyIU5KVA.jpg,0,0,,Dorchester Collection,No,45-park-lane,
8 Spruce,," ",Space,new-york,"8 Spruce is a notable restaurant located in New York City, known for its innovative cuisine and modern ambiance. The establishment has gained attention for its unique dishes that reflect the vibrant culinary scene of the city. Despite currently having no Michelin stars, it offers a memorable dining experience that attracts both locals and visitors. With its strategic location and creative menu, 8 Spruce is a place worth considering for those looking to explore the diverse flavors of New York.",No,0,,,0,https://framerusercontent.com/images/dk7cekThWI98B4x561y5gNFtOg.jpg,0,0,,,No,8-spruce,
ABOUT LIFE COFFEE BREWERS HCM,," ",Eat & Drink,saigon,"Life Coffee Brewers in HCM City, Saigon, is a vibrant café known for its artisanal coffee and inviting atmosphere. While it has yet to receive Michelin recognition, it stands out for its commitment to quality brews and a cozy environment, making it a popular spot for both locals and visitors. With a focus on the craft of coffee, Life Coffee Brewers offers a unique experience that captures the essence of Saigon's burgeoning café culture.",No,0,,,0,https://framerusercontent.com/images/C2P6O5yaYzju7d7CcrIY69Lgt0.jpg,0,0,,About Life Coffee Brewers HCM,No,about-life-coffee-brewers-hcm,
ACME,," ",Eat & Drink,taipei,"ACME is a notable establishment located in Taipei, a vibrant city known for its rich culture and culinary scene. Although it currently holds no Michelin stars, it stands out for its unique offerings and local charm. With its strategic location and innovative approach, ACME aims to provide visitors with an unforgettable experience in the heart of Taiwan's capital.",No,0,,,0,https://framerusercontent.com/images/IfoFvfjQwO6FM4grnJoi7hesDcw.jpeg,0,0,,,No,acme,
AJ grill,," ",Eat & Drink,taipei,"AJ Grill is a vibrant dining establishment located in the bustling city of Taipei. Known for its unique blend of flavors and inviting atmosphere, this restaurant focuses on delivering a memorable grill experience. While it currently holds no Michelin stars, it is a popular choice for locals and visitors alike, offering a diverse menu that caters to various tastes. With a commitment to quality and service, AJ Grill aims to create an enjoyable dining experience for all its guests.",No,0,,,0,https://framerusercontent.com/images/yLuuyXTHkb9e7EMXve1itXGNcLA.jpeg,0,0,,,No,aj-grill,
ANA InterContinental Beppu Resort,intercontinental," ",Stay,beppu,"The ANA InterContinental Beppu Resort is a luxurious destination located in Beppu, Japan, known for its stunning views and exceptional hospitality. Offering a five-star experience, this resort combines modern amenities with traditional Japanese charm, providing guests with an unforgettable stay. Enjoy on-site dining, relaxing spa services, and easy access to the area's famous hot springs, making it an ideal choice for travelers seeking both comfort and adventure in a serene setting.",No,0,,,0,https://framerusercontent.com/images/2Otfoi4OyRKcovo7MiUIjIp2I.jpg,0,5,,,Yes,ana-intercontinental-beppu-resort,
AO,," ",Eat & Drink,taichung,"AO is located in Taichung, Taiwan, a vibrant city known for its rich culture, delicious street food, and beautiful parks. This establishment is notable for its unique ambiance and culinary offerings, though it currently holds no Michelin stars. With a focus on providing a memorable dining experience, AO is a place worth exploring for both locals and visitors alike.",No,0,,,0,https://framerusercontent.com/images/CdQW8AQPMLWiadgZ94tnamHig8o.jpg,0,0,,,Yes,ao,
AP Café Singapore,," ",Eat & Drink,singapore,"AP Café Singapore is a cozy café located in the vibrant city of Singapore, known for its welcoming atmosphere and delicious offerings. Although it has yet to receive Michelin stars, it provides a unique blend of local and international flavors, making it a popular spot for both locals and tourists. With a focus on quality ingredients and a comfortable setting, AP Café is perfect for a casual meal or a relaxing coffee break.",No,1.2945,,,103.8544,https://framerusercontent.com/images/x25Rn2BsigqO1F71X7FsDr5Hwk.webp,0,0,,,No,ap-cafe-singapore,
ARU Restaurant,," ",Eat & Drink,melbourne,"ARU Restaurant is an emerging dining destination located in Melbourne, known for its innovative approach to contemporary cuisine. While it currently holds no Michelin stars, the restaurant has garnered attention for its unique menu that highlights local ingredients and flavors. With a focus on providing a memorable dining experience, ARU Restaurant aims to impress both locals and visitors alike.",No,0,,,0,https://framerusercontent.com/images/9pPISJYwamgr4tU23bxzemhR3Y.jpg,0,0,,,No,aru-restaurant,
Academy Museum of Motion Pictures,," ",Other,los-angeles,"The Academy Museum of Motion Pictures, located in Los Angeles, is a premier destination dedicated to the history and art of cinema. Opened in 2021, the museum features a range of exhibits showcasing the evolution of film, from classic to contemporary works. Visitors can explore interactive displays, screenings, and a vast collection of artifacts, making it a must-visit for film enthusiasts and casual visitors alike.",No,34.06333,,,-118.36083,https://framerusercontent.com/images/5Wizsulu5if1SDVoD2bqDpe5kOo.jpg,0,0,,Academy Museum of Motion Pictures,Yes,academy-museum-of-motion-pictures,
Ace Hotel Kyoto,ace-hotel," ",Stay,kyoto,"Ace Hotel Kyoto is a stylish and contemporary hotel located in the heart of Kyoto, blending modern design with traditional Japanese aesthetics. Known for its vibrant atmosphere and unique offerings, the hotel provides a curated experience for both leisure and business travelers. With its commitment to exceptional service and a focus on local culture, Ace Hotel Kyoto is an ideal base for exploring the rich history and beauty of Kyoto.",Yes,0,,,0,https://framerusercontent.com/images/grym4ygkxF17mSQySE8Fq4XvH4.jpg,0,0,,Ace Hotel Kyoto,No,ace-hotel-kyoto,
